token_id	text	norm	pos	tag	lemma
49062	Ἐν	ἐν	P-	-------	ἐν
49063	ἀρχῇ	ἀρχῇ	N-	----DSF	ἀρχή
49064	ἦν	ἦν	V-	IAI3-S-	εἰμί
49065	ὁ	ὁ	RA	----NSM	ὁ
49066	λόγος,	λόγος	N-	----NSM	λόγος
49067	καὶ	καί	C-	-------	καί
49068	ὁ	ὁ	RA	----NSM	ὁ
49069	λόγος	λόγος	N-	----NSM	λόγος
49070	ἦν	ἦν	V-	IAI3-S-	εἰμί
49071	πρὸς	πρός	P-	-------	πρός
49072	τὸν	τόν	RA	----ASM	ὁ
49073	θεόν,	θεόν	N-	----ASM	θεός
49074	καὶ	καί	C-	-------	καί
49075	θεὸς	θεός	N-	----NSM	θεός
49076	ἦν	ἦν	V-	IAI3-S-	εἰμί
49077	ὁ	ὁ	RA	----NSM	ὁ
49078	λόγος.	λόγος	N-	----NSM	λόγος
49079	οὗτος	οὗτος	RD	----NSM	οὗτος
49080	ἦν	ἦν	V-	IAI3-S-	εἰμί
49081	ἐν	ἐν	P-	-------	ἐν
49082	ἀρχῇ	ἀρχῇ	N-	----DSF	ἀρχή
49083	πρὸς	πρός	P-	-------	πρός
49084	τὸν	τόν	RA	----ASM	ὁ
49085	θεόν.	θεόν	N-	----ASM	θεός
